"created_date","agency","complaint_type","descriptor","borough","incident_zip","latitude","longitude","location_type","street_name","status","resolution_description"
"2026-03-22T23:50:38.000","DOT","Street Condition","Pothole","QUEENS","11361",,,,"NORTHERN BOULEVARD","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T23:48:38.000","DOT","Street Condition","Pothole","QUEENS","11691",,,,"BEACH CHANNEL DRIVE","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T23:47:00.000","DOT","Street Condition","Pothole","STATEN ISLAND","10314","40.593482736419304","-74.16439001340188",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T23:45:00.000","DEP","Sewer","Sewer Odor (SA2)","QUEENS","11416","40.68322748423533","-73.84837594394091",,"92 STREET","Open",
"2026-03-22T23:43:18.000","DOT","Street Condition","Cave-in","BRONX","10468","40.87263826906201","-73.88849183866502","Street","BEDFORD PARK BOULEVARD","In Progress",
"2026-03-22T23:38:45.000","DOT","Street Condition","Pothole","STATEN ISLAND","10314",,,,"VICTORY BOULEVARD","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T23:36:45.000","DOT","Street Condition","Pothole","QUEENS","11365",,,,"65 AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T23:32:58.000","DOT","Street Condition","Pothole","QUEENS","11416",,,,"92 STREET","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T23:32:00.000","DOT","Street Light Condition","Street Light Out","BROOKLYN","11211","40.7022672283311","-73.95902931032938",,"BEDFORD AVENUE","Open",
"2026-03-22T23:31:00.000","DOT","Street Light Condition","Street Light Out","BROOKLYN","11249",,,,"WILLIAMSBURG ST EAST","Open",
"2026-03-22T23:30:50.000","DPR","Damaged Tree","Tree Trunk Split","STATEN ISLAND","10304","40.617166018682624","-74.08484817437153","Street","TARGEE STREET","In Progress",
"2026-03-22T23:29:20.000","DOT","Street Condition","Pothole","MANHATTAN","10036",,,,"WEST   44 STREET","Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T23:28:56.000","DOT","Street Condition","Pothole","QUEENS","11434",,,,"170 STREET","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T23:28:53.000","DOT","Street Condition","Pothole","QUEENS","11434","40.677675602520004","-73.76276378915186",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T23:28:24.000","DOT","Street Condition","Pothole","STATEN ISLAND","10303",,,,"ARLINGTON PLACE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T23:27:53.000","DOT","Street Condition","Pothole","BRONX","10458",,,,"BEDFORD PARK BOULEVARD","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T23:27:48.000","DOT","Street Condition","Pothole","MANHATTAN","10002","40.714944724179205","-73.97665020158652",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T23:27:17.000","DOT","Street Condition","Pothole","QUEENS","11379","40.7143995934852","-73.89797665860704",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T23:26:52.000","DOT","Sidewalk Condition","Broken Sidewalk","MANHATTAN","10013","40.719623839988785","-74.00862917325122","Sidewalk","HUDSON STREET","In Progress",
"2026-03-22T23:24:00.000","DEP","Water System","Hydrant Leaking (WC1)","QUEENS","11367","40.73961867606464","-73.82154034521683",,"148 PLACE","Open",
"2026-03-22T23:15:00.000","DOT","Street Light Condition","Flood Light Lamp Dim","QUEENS","11106","40.75919447100306","-73.92762275826117",,"31 STREET","Open",
"2026-03-22T23:14:26.000","DOT","Street Condition","Pothole","MANHATTAN","10036",,,,"9 AVENUE","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T23:13:00.000","DEP","Sewer","Sewer Backup (Use Comments) (SA)","BROOKLYN","11215","40.67592626803196","-73.98335502146028",,"CARROLL STREET","Open",
"2026-03-22T23:10:58.000","DOT","Street Condition","Pothole","BROOKLYN","11212","40.66926361514837","-73.9135535153561",,,"Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
"2026-03-22T23:06:31.000","DOT","Street Condition","Cave-in","BROOKLYN","11220","40.639064799077076","-74.02633548724505","Street","WAKEMAN PLACE","In Progress",
"2026-03-22T22:56:20.000","DOT","Street Condition","Pothole","MANHATTAN","10128","40.78451552152521","-73.94982473837051",,,"Closed","The Department of Transportation determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed."
"2026-03-22T22:56:00.000","DOT","Street Condition","Pothole","BRONX","10458",,,,"EAST FORDHAM ROAD","Open","The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair."
